suburb,hotspot_prob
MacquariePark,0.999353335473494
StrathfieldSouth,0.9168398525440028
Leichhardt,0.39012356472906523
CityCentral,0.30201803445212283
Burwood,0.2575634615030059
Rockdale,0.1919888546806286
NorthSydney,0.18591040592607921
Marrickville,0.17541068596992274
Campsie,0.1557139398999118
Epping,0.15153384879529416
Bankstown,0.12049448091758784
Revesby,0.11079925252459003
Mascot,0.09879701992384758
Concord,0.09076499782084403
Camperdown,0.0819518638068978
HurstvilleNorth,0.07599761633542344
Auburn,0.07444912906222348
CrowsNest,0.06798872533913537
Lidcombe,0.06772722731883937
SurryHills,0.0655049817363037
TerreyHills,0.06047466968440937
Maryland,0.05709704169252054
NewcastleCBD,0.05302097455728447
MayfieldWest,0.04513579611835989
